"timezone";"country";"altitude";"city";"street";"lon";"lat";"id"
"Europe/Berlin";"DE";66;"Münster";"Kinderhauser Straße";7,613644;51,973657;"70:ee:50:00:eb:6e"
"Europe/Berlin";"DE";69;"Münster";"Kellermannstraße";7,61842061353347;51,9707060070209;"70:ee:50:2c:d9:98"
"Europe/Berlin";"DE";66;"Münster";"Melchersstraße";7,617491;51,971841;"70:ee:50:1e:24:5c"
"Europe/Berlin";"DE";68;"Münster";"Raesfeldstraße";7,6190518628205;51,9705469239911;"70:ee:50:33:30:48"
"Europe/Berlin";"DE";60;"Münster";"Auf der Horst";7,64192300000002;51,9661052;"70:ee:50:14:4f:40"
"Europe/Berlin";"DE";59;"Münster";"Stettiner Straße";7,64549803862292;51,9731917422775;"70:ee:50:17:b2:c8"
"Europe/Berlin";"DE";60;"Münster";"Stettiner Straße";7,645958;51,975134;"70:ee:50:13:29:da"
"Europe/Berlin";"DE";55;"Telgte";"Einsteinstraße";7,778141;51,978086;"70:ee:50:3b:eb:4e"
"Europe/Berlin";"DE";56;"Telgte";"Selma-Lagerlöf-Straße";7,786002;51,974818;"70:ee:50:03:4e:68"
"Europe/Berlin";"DE";58;"Telgte";"Bettina-von-Arnim-Straße";7,788091;51,973689;"70:ee:50:3c:e3:aa"
"Europe/Berlin";"DE";54;"Telgte";"Gutenbergweg";7,78289985656738;51,9799995422363;"70:ee:50:19:10:ea"
"Europe/Berlin";"DE";60;"Münster";"Prins-Claus-Straße";7,607826;51,982288;"70:ee:50:16:0a:ee"
"Europe/Berlin";"DE";60;"Münster";"Fresnostraße";7,607632;51,984898;"70:ee:50:20:eb:90"
"Europe/Berlin";"DE";55;"Münster";"Am Burloh";7,603614;51,993935;"70:ee:50:3d:1c:ca"
"Europe/Berlin";"DE";57;"Münster";"Kemperweg";7,638448;51,990443;"70:ee:50:17:86:02"
"Europe/Berlin";"DE";59;"Münster";"Joseph-Haydn-Straße";7,64833775814043;51,9809862349973;"70:ee:50:2f:12:78"
"Europe/Berlin";"DE";53;"Dyckburg";"Dyckburgstraße";7,687764;51,993402;"70:ee:50:53:06:f0"
"Europe/Berlin";"DE";53;"Münster";"Werseaue";7,70001900000003;51,984635;"70:ee:50:22:ed:4e"
"Europe/Berlin";"DE";52;"Münster";"Werseaue";7,702293;51,982548;"70:ee:50:14:69:00"
"Europe/Berlin";"DE";48;"Telgte";"Häherweg";7,777595;51,986171;"70:ee:50:12:90:7e"
"Europe/Berlin";"DE";50;"Telgte";"Grabenstraße";7,781828;51,984399;"70:ee:50:17:d2:b2"
"Europe/Berlin";"DE";52;"Telgte";"Bahnhofstraße";7,78376019999996;51,9826122;"70:ee:50:27:2c:3c"
"Europe/Berlin";"DE";52;"Telgte";"Alter Warendorfer Weg";7,794231;51,981346;"70:ee:50:12:fd:84"
"Europe/Berlin";"DE";55;"Münster";"Pestalozzistraße";7,598636;52,0002271;"70:ee:50:2c:94:a2"
"Europe/Berlin";"DE";57;"Münster";"Hermelinweg";7,638886;51,995606;"70:ee:50:17:7f:e4"
"Europe/Berlin";"DE";56;"Münster";"Hermelinweg";7,6394190788269;51,9955596923828;"70:ee:50:2e:fe:9c"
"Europe/Berlin";"DE";55;"Münster";"Wieselweg";7,640278;51,997298;"70:ee:50:02:bc:16"
"Europe/Berlin";"DE";53;"Dyckburg";"Havichhorster Mühle";7,68930006027222;52,000301361084;"70:ee:50:3f:0d:38"
"Europe/Berlin";"DE";52;"Dorbaum";"Dorbaumstraße";7,71045249395252;51,9964468571276;"70:ee:50:02:98:90"
"Europe/Berlin";"DE";53;"Dorbaum";"Eichenaue";7,713925;51,995775;"70:ee:50:01:d9:76"
"Europe/Berlin";"DE";56;"Dorbaum";"Eichengrund";7,7148699760437;51,9970165863528;"70:ee:50:03:a3:4a"
"Europe/Berlin";"DE";52;"Dorbaum";"Moorbirkenweg";7,7139684;52,0007583;"70:ee:50:36:91:28"
"Europe/Berlin";"DE";51;"Telgte";"Lauheide";7,74450182;52,00431867;"70:ee:50:06:a8:fc"
"Europe/Berlin";"DE";48;"Telgte";"Westbeverner Straße";7,777988;51,995352;"70:ee:50:04:e4:86"
"Europe/Berlin";"DE";51;"Telgte";"Pfarrer-Wiesmann-Straße";7,779049;52,021291;"70:ee:50:14:4c:8e"
"Europe/Berlin";"DE";50;"Münster";"Rotbuchenweg";7,616383;52,036779;"70:ee:50:3f:5c:a4"
"Europe/Berlin";"DE";51;"Münster";"Dreilinden";7,6185659280207;52,037843084055;"70:ee:50:52:ff:dc"
"Europe/Berlin";"DE";50;"Münster";"Gelmerheide";7,6734971;52,0294688;"70:ee:50:29:32:34"
"Europe/Berlin";"DE";50;"Telgte";"Riehenhaar";7,774936;52,036541;"70:ee:50:36:d6:d2"
"Europe/Berlin";"DE";51;"Telgte";NA;7,78726670000003;52,0278457;"70:ee:50:20:9a:6e"
"Europe/Berlin";"DE";54;"Ostbevern";"Im Kirchesch";7,833306;52,036431;"70:ee:50:33:28:7a"
"Europe/Berlin";"DE";54;"Ostbevern";"Kirchbreede";7,835261;52,034223;"70:ee:50:2f:27:76"
"Europe/Berlin";"DE";51;"Münster";"Sprakelweg";7,60885329999996;52,0452978;"70:ee:50:32:b5:04"
"Europe/Berlin";"DE";51;"Greven";"Fuestruper Straße";7,686487;52,0468;"70:ee:50:16:16:76"
"Europe/Berlin";"DE";53;"Telgte";"Wiewelhook";7,737013;52,044109;"70:ee:50:3c:f8:76"
"Europe/Berlin";"DE";54;"Ostbevern";"Alfred-Delp-Weg";7,83560466766357;52,0444544697796;"70:ee:50:04:b8:90"
"Europe/Berlin";"DE";54;"Ostbevern";"Alfred-Delp-Weg";7,83560466766357;52,0444544697796;"70:ee:50:1d:fb:0c"
"Europe/Berlin";"DE";52;"Ostbevern";"Bernhard-Thüssing-Weg";7,8400453;52,0426133;"70:ee:50:3a:17:f6"
"Europe/Berlin";"DE";50;"Kreis Steinfurt";"Mühlenweg";7,6295523;52,0602242;"70:ee:50:00:65:10"
